Crime Head,Total Cases for Investigation,Cases True but Insufficient Evidence ,Total Cases Disposed Off by Police ,Cases Pending Invsgn.at end of the year 
Tampering computer source documents,418,52,107,311
Computer Related Offences,57967,18769,29988,27964
Computer Related Offences,8226,2468,4163,4060
Ransom-ware,1275,613,900,374
Offences other than Ransom-ware,6951,1855,3263,3686
Dishonestly receiving stolen computer resource or communication device,830,200,322,506
Identity Theft,24501,8384,12748,11749
Cheating by personation by using computer resource,23212,7546,12312,10894
Violation of Privacy,1198,171,443,755
Cyber Terrorism,56,6,13,43
Publication/transmission of obscene / sexually explicit act in electronic form,12969,1907,5511,7453
Publishing or transmitting obscene material in Electronic Form,5365,832,2301,3060
Publishing or transmitting of material containing Sexually explicit act in electronic form,3607,595,1701,1905
Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,1417,108,597,820
Preservation and retention of information by intermediaries,105,21,48,57
Other Sections 67 IT Act,2475,351,864,1611
Interception or Monitoring or decryption of Information,10,1,3,7
Un-authorized access/attempt to  access to protected computer system,5,1,1,4
Abetment to Commit Offences,8,1,5,3
Attempt to Commit Offences,18,1,4,14
Other Sections of IT Act,2433,491,1043,1390
Total Offences under I.T. Act,73884,21229,36675,37189
