artist,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
Maroon 5,0.726,0.815,-4.969,0.0373,0.0724,0.357,0.693,99.972
Katy Perry,0.449,0.856,-4.788,0.0623,0.187,0.176,0.152,112.648
Ed Sheeran,0.45,0.858,-4.734,0.0627,0.193,0.165,0.161,113.1
Shawn Mendes,0.437,0.774,-4.918,0.0554,0.148,0.133,0.329,123.125
Justin Bieber,0.421,0.787,-4.912,0.0522,0.135,0.12,0.34,125.67
Loud Luxury,0.744,0.726,-4.675,0.0463,0.0399,0.374,0.687,121.985
Kygo,0.693,0.678,-7.159,0.0324,0.0154,0.101,0.404,103.952
Billie Eilish,0.678,0.928,-3.66,0.0597,0.0303,0.143,0.663,116.892
Jax Jones,0.906,0.832,-3.004,0.0718,0.0909,0.152,0.751,104.03
NCT,0.787,0.543,-7.004,0.037,0.0233,0.0861,0.332,99.026
Ariana Grande,0.44,0.792,-4.812,0.0612,0.151,0.129,0.342,121.342
BLACKPINK,0.6,0.96,-1.807,0.095,0.0426,0.0882,0.503,109.863
KARD,0.76,0.842,-5.558,0.131,0.0677,0.313,0.882,102.987
BTS,0.598,0.775,-4.035,0.0545,0.022,0.0677,0.687,129.819
TWICE,0.702,0.913,-2.977,0.0374,0.0514,0.166,0.735,137.982
X1,0.674,0.91,-2.898,0.0594,0.029,0.342,0.599,132.04
GOT7,0.8,0.873,-5.121,0.0991,0.0148,0.343,0.612,99.972
DJ Snake,0.701,0.697,-8.121,0.041,0.0123,0.106,0.419,102.931
SUNMI,0.605,0.894,-3.885,0.0385,0.0119,0.0887,0.545,122.051
SEVENTEEN,0.615,0.904,-3.955,0.0412,0.0333,0.117,0.692,130.047
PRODUCE 48,0.649,0.862,-3.903,0.0487,0.0218,0.066,0.594,128.051
TAEMIN,0.64,0.657,-7.012,0.042,0.0261,0.0945,0.399,102.432
THE BOYZ,0.695,0.921,-2.699,0.0848,0.0733,0.0789,0.642,119.971
