States,investigated_21,Investigated_20
Andhra Pradesh,5565,4473
Arunachal Pradesh,88,44
Assam,9694,6831
Bihar,3152,2695
Chhattisgarh,639,461
Goa,86,62
Gujarat,2002,1479
Haryana,1180,1004
Himachal Pradesh,161,165
Jharkhand,3248,3167
Karnataka,34384,30149
Kerala,1351,851
Madhya Pradesh,1266,1207
Maharashtra,16231,14001
Manipur,268,202
Meghalaya,301,268
Mizoram,38,22
Nagaland,18,10
Odisha,5637,4443
Punjab,1210,830
Rajasthan,2217,1983
Sikkim,2,2
Tamil Nadu,2324,1504
Telangana,16007,7873
Tripura,75,70
Uttar Pradesh,15662,16834
Uttarakhand,1003,377
West Bengal,1858,1736
